1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Source
558,532;574,722;476,907;482,803;531,872;498,374;432,572;490,035;457,162;536,302;450,462;469,926;455,871;443,190;529,105;495,729;To sea and net abstraction
678,886;699,810;599,087;604,060;652,460;617,852;548,553;611,692;575,707;658,931;569,681;587,655;571,952;555,605;647,479;611,354;Total outflow s
-620;1,838;1,301;-2,085;1,131;-610;41;-909;845;-1,593;1,907;-462;-199;-1,087;1,780;-1,514;Soil moisture
-289;264;-1,676;1,714;-763;2,357;-3,338;2,124;-761;1,957;-3,336;91;-335;-1,184;2,836;81;Lakes and reservoirs
4,220;-1,220;-2,480;-830;-1,810;820;290;2,750;-4,480;3,060;-3,130;-440;-2,200;520;2,770;2,890;Groundwater
1,316;643;-3,986;1,709;-1,953;1,869;508;1,369;-3,158;1,272;-269;1,438;-47;398;-1,688;945;Snow
1,473;60;1,214;-1,304;-3,462;-3,082;767;-2,396;950;807;1,035;-1,209;-327;-2,617;-2,163;-245;Ice
6,100;1,584;-5,627;-796;-6,857;1,354;-1,732;2,938;-6,604;5,503;-3,793;-581;-3,109;-3,970;3,536;2,156;Total change in storage
684,986;701,394;593,461;603,264;645,603;619,207;546,821;614,630;569,103;664,433;565,889;587,074;568,843;551,635;651,015;613,510;Precipitation
684,986;701,394;593,461;603,264;645,603;619,207;546,821;614,630;569,103;664,433;565,889;587,074;568,843;551,635;651,015;613,510;Total inflow s
120,354;125,088;122,180;121,257;120,588;119,478;115,980;121,657;118,545;122,628;119,220;117,729;116,081;112,415;118,374;115,625;Evapotranspiration
182,049;184,698;159,743;159,216;164,673;151,867;159,661;140,308;160,850;167,244;170,315;143,725;154,558;143,342;155,088;156,329;Abstraction for hydroelectricity
-182,049;-184,698;-159,743;-159,216;-164,673;-151,867;-159,661;-140,308;-160,850;-167,244;-170,315;-143,725;-154,558;-143,342;-155,088;-156,329;Discharge from hydroelectricity generation(2) 
